,SEID,EpisodeNo,Season,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
74,S05E12,12,5,0.140737805,357,3280,0.169540718,94,975,0.264496381,48,525,0.091784293,56,382,0.163390824,80,752,0.175434434,278,2634,,,,-0.000734211,79,646
75,S05E13,13,5,0.06198982,347,3507,0.165543337,75,803,-0.019286749,80,1049,0.170315701,59,535,0.024919048,92,861,0.069357666,306,3248,,,,-0.03040695,41,259
76,S05E14,14,5,0.244350797,351,3640,0.234209952,106,1035,0.289508931,53,851,0.228143132,33,364,0.252712117,75,718,0.253797439,267,2968,,,,0.202628125,84,672
77,S05E15,15,5,0.072289823,304,3056,0.039861412,77,850,0.067429245,53,636,0.070525945,36,397,0.09177618,45,466,0.062807024,211,2349,,,,0.103796322,93,707
78,S05E16,16,5,0.066563308,346,3603,0.166924643,82,840,0.122821994,57,682,0.236838393,43,336,0.224116357,36,269,0.17106079,218,2127,,,,-0.084023509,128,1476
79,S05E17,17,5,0.154316164,347,3217,0.190005299,91,887,0.053374916,25,299,0.077348548,24,241,0.262612816,58,593,0.177655545,198,2020,-0.113807143,10,56,0.126156091,139,1141
80,S05E18,18,5,0.108770621,730,6668,0.063865746,149,1159,0.138824094,100,1104,0.126211224,72,588,0.28918034,44,412,0.128911033,365,3263,0.091455891,247,2156,0.086042354,118,1249
81,S05E20,20,5,0.234390065,294,3221,0.167656611,71,779,0.335496044,54,632,0.310320325,34,492,0.204600939,26,213,0.25467656,185,2116,-0.524544,3,25,0.212211481,106,1080
82,S05E21,21,5,0.144146426,314,2882,0.031406042,79,662,0.157910233,67,772,0.193081447,38,318,0.293588249,48,434,0.151653568,232,2186,,,,0.12056796,82,696
83,S05E22,22,5,0.217793309,299,3243,0.220367171,65,661,0.280024306,43,901,0.236485321,24,218,0.045208365,60,526,0.205246314,192,2306,0.6397525,3,40,0.231232553,104,897
84,S06E01,1,6,0.072557785,296,2935,0.137918238,67,647,0.069308811,41,488,0.020465094,42,636,0.269405986,39,284,0.103446667,189,2055,,,,0.000425227,107,880
85,S06E02,2,6,0.079405724,291,2865,-0.126125681,89,771,0.316916507,40,521,0.076216279,27,387,0.151326579,59,380,0.075216319,215,2059,0.314997521,13,121,0.05038292,63,685
86,S06E03,3,6,0.128868507,322,2880,0.160303717,97,861,0.158672441,36,381,0.224952982,39,436,0.152141274,53,424,0.171771218,225,2102,,,,0.012953985,97,778
87,S06E04,4,6,0.058937004,318,3278,0.033738288,91,888,-0.079877987,39,477,0.1915379,43,562,0.145100693,69,721,0.077084479,242,2648,-0.012110132,30,227,-0.020285856,46,403
88,S06E05,5,6,0.11213203,331,3069,0.188682479,77,605,0.15443278,41,482,0.196319355,37,465,0.162810926,56,421,0.176594729,211,1973,,,,-0.003912591,120,1096
89,S06E06,6,6,0.133778305,283,3185,0.160460758,81,818,0.151314263,42,624,0.223720887,46,541,0.163940868,44,438,0.172869104,213,2421,,,,0.009905497,70,764
90,S06E07,7,6,0.159544421,391,3773,0.069511355,133,1048,0.226345229,68,807,0.132780317,38,442,0.238007524,51,412,0.152180325,290,2709,,,,0.178293797,101,1064
