# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Affinity Categories (reach),,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Affinity Category (reach),Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
6/8/2016,436,,,,,,,,
6/9/2016,457,,,,,,,,
6/10/2016,334,,,,,,,,
6/11/2016,29,,,,,,,,
6/12/2016,60,,,,,,,,
6/13/2016,429,,,,,,,,
6/14/2016,466,,,,,,,,
6/15/2016,476,,,,,,,,
6/16/2016,483,,,,,,,,
6/17/2016,321,,,,,,,,
6/18/2016,33,,,,,,,,
6/19/2016,56,,,,,,,,
6/20/2016,462,,,,,,,,
6/21/2016,476,,,,,,,,
6/22/2016,480,,,,,,,,
6/23/2016,458,,,,,,,,
6/24/2016,312,,,,,,,,
6/25/2016,38,,,,,,,,
6/26/2016,64,,,,,,,,
6/27/2016,484,,,,,,,,
6/28/2016,491,,,,,,,,
6/29/2016,504,,,,,,,,
6/30/2016,429,,,,,,,,
7/1/2016,300,,,,,,,,
7/2/2016,37,,,,,,,,
7/3/2016,48,,,,,,,,
7/4/2016,137,,,,,,,,
7/5/2016,377,,,,,,,,
7/6/2016,492,,,,,,,,
7/7/2016,444,,,,,,,,
7/8/2016,354,,,,,,,,
7/9/2016,55,,,,,,,,
7/10/2016,68,,,,,,,,
7/11/2016,480,,,,,,,,
7/12/2016,470,,,,,,,,
7/13/2016,472,,,,,,,,
7/14/2016,464,,,,,,,,
7/15/2016,350,,,,,,,,
7/16/2016,31,,,,,,,,
7/17/2016,57,,,,,,,,
7/18/2016,428,,,,,,,,
7/19/2016,455,,,,,,,,
7/20/2016,455,,,,,,,,
7/21/2016,466,,,,,,,,
7/22/2016,374,,,,,,,,
7/23/2016,37,,,,,,,,
7/24/2016,77,,,,,,,,
7/25/2016,483,,,,,,,,
7/26/2016,461,,,,,,,,
7/27/2016,498,,,,,,,,
7/28/2016,462,,,,,,,,
7/29/2016,313,,,,,,,,
7/30/2016,31,,,,,,,,
7/31/2016,67,,,,,,,,
8/1/2016,431,,,,,,,,
8/2/2016,489,,,,,,,,
8/3/2016,444,,,,,,,,
8/4/2016,419,,,,,,,,
8/5/2016,337,,,,,,,,
8/6/2016,34,,,,,,,,
8/7/2016,60,,,,,,,,
8/8/2016,455,,,,,,,,
8/9/2016,489,,,,,,,,
8/10/2016,517,,,,,,,,
8/11/2016,419,,,,,,,,
8/12/2016,296,,,,,,,,
8/13/2016,31,,,,,,,,
8/14/2016,46,,,,,,,,
8/15/2016,431,,,,,,,,
8/16/2016,479,,,,,,,,
8/17/2016,474,,,,,,,,
8/18/2016,468,,,,,,,,
8/19/2016,372,,,,,,,,
8/20/2016,52,,,,,,,,
8/21/2016,61,,,,,,,,
8/22/2016,501,,,,,,,,
8/23/2016,544,,,,,,,,
8/24/2016,500,,,,,,,,
8/25/2016,449,,,,,,,,
8/26/2016,317,,,,,,,,
8/27/2016,44,,,,,,,,
8/28/2016,64,,,,,,,,
8/29/2016,440,,,,,,,,
8/30/2016,493,,,,,,,,
8/31/2016,459,,,,,,,,
9/1/2016,424,,,,,,,,
9/2/2016,331,,,,,,,,
9/3/2016,34,,,,,,,,
9/4/2016,67,,,,,,,,
9/5/2016,149,,,,,,,,
9/6/2016,524,,,,,,,,
9/7/2016,484,,,,,,,,
9/8/2016,534,,,,,,,,
9/9/2016,367,,,,,,,,
9/10/2016,44,,,,,,,,
9/11/2016,70,,,,,,,,
9/12/2016,511,,,,,,,,
9/13/2016,480,,,,,,,,
9/14/2016,508,,,,,,,,
9/15/2016,509,,,,,,,,
9/16/2016,371,,,,,,,,
9/17/2016,34,,,,,,,,
9/18/2016,67,,,,,,,,
9/19/2016,478,,,,,,,,
9/20/2016,502,,,,,,,,
9/21/2016,554,,,,,,,,
9/22/2016,523,,,,,,,,
9/23/2016,393,,,,,,,,
9/24/2016,56,,,,,,,,
9/25/2016,74,,,,,,,,
9/26/2016,496,,,,,,,,
9/27/2016,541,,,,,,,,
9/28/2016,664,,,,,,,,
9/29/2016,526,,,,,,,,
9/30/2016,404,,,,,,,,
10/1/2016,43,,,,,,,,
10/2/2016,55,,,,,,,,
10/3/2016,476,,,,,,,,
10/4/2016,565,,,,,,,,
10/5/2016,509,,,,,,,,
10/6/2016,427,,,,,,,,
10/7/2016,296,,,,,,,,
10/8/2016,53,,,,,,,,
10/9/2016,57,,,,,,,,
10/10/2016,393,,,,,,,,
10/11/2016,521,,,,,,,,
10/12/2016,450,,,,,,,,
10/13/2016,508,,,,,,,,
10/14/2016,427,,,,,,,,
10/15/2016,50,,,,,,,,
10/16/2016,95,,,,,,,,
10/17/2016,534,,,,,,,,
10/18/2016,561,,,,,,,,
10/19/2016,556,,,,,,,,
10/20/2016,475,,,,,,,,
10/21/2016,391,,,,,,,,
10/22/2016,40,,,,,,,,
10/23/2016,74,,,,,,,,
10/24/2016,518,,,,,,,,
10/25/2016,489,,,,,,,,
10/26/2016,522,,,,,,,,
10/27/2016,531,,,,,,,,
10/28/2016,372,,,,,,,,
10/29/2016,39,,,,,,,,
10/30/2016,57,,,,,,,,
10/31/2016,522,,,,,,,,
11/1/2016,505,,,,,,,,
11/2/2016,500,,,,,,,,
11/3/2016,501,,,,,,,,
11/4/2016,356,,,,,,,,
11/5/2016,31,,,,,,,,
11/6/2016,69,,,,,,,,
11/7/2016,511,,,,,,,,
11/8/2016,483,,,,,,,,
11/9/2016,519,,,,,,,,
11/10/2016,475,,,,,,,,
11/11/2016,307,,,,,,,,
11/12/2016,42,,,,,,,,
11/13/2016,89,,,,,,,,
11/14/2016,494,,,,,,,,
11/15/2016,510,,,,,,,,
11/16/2016,551,,,,,,,,
11/17/2016,485,,,,,,,,
11/18/2016,357,,,,,,,,
11/19/2016,46,,,,,,,,
11/20/2016,72,,,,,,,,
11/21/2016,484,,,,,,,,
11/22/2016,489,,,,,,,,
11/23/2016,410,,,,,,,,
11/24/2016,166,,,,,,,,
11/25/2016,114,,,,,,,,
11/26/2016,31,,,,,,,,
11/27/2016,81,,,,,,,,
11/28/2016,494,,,,,,,,
11/29/2016,500,,,,,,,,
11/30/2016,438,,,,,,,,
12/1/2016,461,,,,,,,,
12/2/2016,380,,,,,,,,
12/3/2016,55,,,,,,,,
12/4/2016,93,,,,,,,,
12/5/2016,494,,,,,,,,
12/6/2016,497,,,,,,,,
12/7/2016,514,,,,,,,,
12/8/2016,551,,,,,,,,
12/9/2016,380,,,,,,,,
12/10/2016,43,,,,,,,,
12/11/2016,67,,,,,,,,
12/12/2016,530,,,,,,,,
12/13/2016,506,,,,,,,,
12/14/2016,451,,,,,,,,
12/15/2016,508,,,,,,,,
12/16/2016,356,,,,,,,,
12/17/2016,34,,,,,,,,
12/18/2016,76,,,,,,,,
12/19/2016,459,,,,,,,,
12/20/2016,521,,,,,,,,
12/21/2016,423,,,,,,,,
12/22/2016,367,,,,,,,,
12/23/2016,164,,,,,,,,
12/24/2016,26,,,,,,,,
12/25/2016,33,,,,,,,,
12/26/2016,84,,,,,,,,
12/27/2016,236,,,,,,,,
12/28/2016,249,,,,,,,,
12/29/2016,226,,,,,,,,
12/30/2016,144,,,,,,,,
12/31/2016,26,,,,,,,,
1/1/2017,33,,,,,,,,
1/2/2017,100,,,,,,,,
1/3/2017,331,,,,,,,,
1/4/2017,397,,,,,,,,
1/5/2017,440,,,,,,,,
1/6/2017,380,,,,,,,,
1/7/2017,47,,,,,,,,
1/8/2017,68,,,,,,,,
1/9/2017,444,,,,,,,,
1/10/2017,526,,,,,,,,
1/11/2017,531,,,,,,,,
1/12/2017,524,,,,,,,,
1/13/2017,394,,,,,,,,
1/14/2017,48,,,,,,,,
1/15/2017,82,,,,,,,,
1/16/2017,476,,,,,,,,
1/17/2017,564,,,,,,,,
1/18/2017,601,,,,,,,,
1/19/2017,530,,,,,,,,
1/20/2017,416,,,,,,,,
1/21/2017,39,,,,,,,,
1/22/2017,95,,,,,,,,
1/23/2017,598,,,,,,,,
1/24/2017,565,,,,,,,,
1/25/2017,491,,,,,,,,
1/26/2017,530,,,,,,,,
1/27/2017,412,,,,,,,,
1/28/2017,46,,,,,,,,
1/29/2017,74,,,,,,,,
1/30/2017,534,,,,,,,,
1/31/2017,581,,,,,,,,
2/1/2017,590,,,,,,,,
2/2/2017,579,,,,,,,,
2/3/2017,464,,,,,,,,
2/4/2017,47,,,,,,,,
2/5/2017,87,,,,,,,,
2/6/2017,594,,,,,,,,
2/7/2017,652,,,,,,,,
2/8/2017,673,,,,,,,,
2/9/2017,642,,,,,,,,
2/10/2017,523,,,,,,,,
2/11/2017,69,,,,,,,,
2/12/2017,69,,,,,,,,
2/13/2017,582,,,,,,,,
2/14/2017,654,,,,,,,,
2/15/2017,654,,,,,,,,
2/16/2017,694,,,,,,,,
2/17/2017,437,,,,,,,,
2/18/2017,56,,,,,,,,
2/19/2017,111,,,,,,,,
2/20/2017,519,,,,,,,,
2/21/2017,641,,,,,,,,
2/22/2017,684,,,,,,,,
2/23/2017,616,,,,,,,,
2/24/2017,419,,,,,,,,
2/25/2017,35,,,,,,,,
2/26/2017,65,,,,,,,,
2/27/2017,620,,,,,,,,
2/28/2017,603,,,,,,,,
3/1/2017,671,,,,,,,,
3/2/2017,574,,,,,,,,
3/3/2017,448,,,,,,,,
3/4/2017,42,,,,,,,,
3/5/2017,102,,,,,,,,
3/6/2017,688,,,,,,,,
3/7/2017,626,,,,,,,,
3/8/2017,690,,,,,,,,
3/9/2017,641,,,,,,,,
3/10/2017,475,,,,,,,,
3/11/2017,57,,,,,,,,
3/12/2017,86,,,,,,,,
3/13/2017,675,,,,,,,,
3/14/2017,624,,,,,,,,
3/15/2017,646,,,,,,,,
3/16/2017,629,,,,,,,,
3/17/2017,496,,,,,,,,
3/18/2017,68,,,,,,,,
3/19/2017,78,,,,,,,,
3/20/2017,650,,,,,,,,
3/21/2017,702,,,,,,,,
3/22/2017,711,,,,,,,,
3/23/2017,625,,,,,,,,
3/24/2017,485,,,,,,,,
3/25/2017,52,,,,,,,,
3/26/2017,91,,,,,,,,
3/27/2017,703,,,,,,,,
3/28/2017,714,,,,,,,,
3/29/2017,738,,,,,,,,
3/30/2017,703,,,,,,,,
3/31/2017,549,,,,,,,,
