# ----------------------------------------
# Cage Code Site Data
# Site Search Usage
# 20160401-20180407
# ----------------------------------------

Site Search Status,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Visits Without Site Search,"392,050",38.98%,"152,836",26.93%,2.92,00:03:15,0.00%,0,$0.00
Visits With Site Search,"258,816",45.24%,"117,084",8.27%,4.57,00:05:53,0.00%,0,$0.00
,"650,866",41.47%,"269,920",19.51%,3.58,00:04:18,0.00%,0,$0.00

Day Index,Sessions
1/4/18,"1,179"
1/5/18,941
1/6/18,102
1/7/18,204
1/8/18,"1,440"
1/9/18,"1,638"
1/10/18,"1,527"
1/11/18,"1,481"
1/12/18,"1,017"
1/13/18,134
1/14/18,244
1/15/18,"1,220"
1/16/18,"1,408"
1/17/18,"1,402"
1/18/18,"1,499"
1/19/18,"1,121"
1/20/18,152
1/21/18,245
1/22/18,"1,653"
1/23/18,"1,607"
1/24/18,"1,486"
1/25/18,"1,434"
1/26/18,"1,036"
1/27/18,187
1/28/18,338
1/29/18,"1,584"
1/30/18,"1,710"
1/31/18,"1,668"
2/1/18,"1,571"
2/2/18,"1,165"
2/3/18,183
2/4/18,282
2/5/18,"1,537"
2/6/18,"1,678"
2/7/18,"1,663"
2/8/18,"1,600"
2/9/18,"1,197"
2/10/18,220
2/11/18,277
2/12/18,"1,621"
2/13/18,"1,622"
2/14/18,"1,668"
2/15/18,"1,689"
2/16/18,"1,224"
2/17/18,268
2/18/18,265
2/19/18,"1,273"
2/20/18,"1,637"
2/21/18,"1,658"
2/22/18,"1,650"
2/23/18,"1,139"
2/24/18,161
2/25/18,292
2/26/18,"1,600"
2/27/18,"1,748"
2/28/18,"1,677"
3/1/18,"1,568"
3/2/18,"1,215"
3/3/18,180
3/4/18,285
3/5/18,"1,671"
3/6/18,"1,709"
3/7/18,"1,681"
3/8/18,"1,573"
3/9/18,"1,199"
3/10/18,164
3/11/18,256
3/12/18,"1,567"
3/13/18,"1,692"
3/14/18,"1,668"
3/15/18,"1,608"
3/16/18,"1,235"
3/17/18,156
3/18/18,286
3/19/18,"1,643"
3/20/18,"1,731"
3/21/18,"1,689"
3/22/18,"1,662"
3/23/18,"1,169"
3/24/18,171
3/25/18,267
3/26/18,"1,790"
3/27/18,"1,708"
3/28/18,"1,623"
3/29/18,"1,497"
3/30/18,785
3/31/18,125
4/1/18,146
4/2/18,"1,330"
4/3/18,"1,596"
4/4/18,"1,530"
4/5/18,"1,465"
4/6/18,"1,110"
4/7/18,189
,"650,866"
