# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events,"2,825","2,080","5,438",17.01%,4.1,0:04:49,0.00%,0,$0.00 
"Reference/General Reference/How-To, DIY & Expert Content","2,812","2,228","4,896",17.85%,3.5,0:04:03,0.00%,0,$0.00 
Pets & Animals/Wildlife,"2,797","2,153","4,829",15.80%,3.53,0:03:49,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance,"2,742","2,094","4,989",17.58%,3.81,0:04:48,0.00%,0,$0.00 
News/Business News,"2,732","2,287","4,262",14.90%,3.75,0:03:56,0.00%,0,$0.00 
Arts & Entertainment/Movies/Science Fiction & Fantasy Films,"2,658","2,197","4,510",14.52%,3.45,0:03:40,0.00%,0,$0.00 
Arts & Entertainment/Comics & Animation/Comics,"2,641","2,238","4,409",14.83%,3.65,0:03:39,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Vehicle Wheels & Tires,"2,633","1,992","5,469",19.09%,3.34,0:04:04,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas,"2,591","2,131","4,762",18.94%,3.88,0:04:06,0.00%,0,$0.00 
Computers & Electronics/Networking/Networking Equipment,"2,562","1,927","4,980",16.83%,4.02,0:04:29,0.00%,0,$0.00 
Shopping/Gifts & Special Event Items/Cards & Greetings,"2,548","2,107","4,052",18.83%,3.56,0:03:37,0.00%,0,$0.00 
Business & Industrial/Aerospace & Defense,"2,538","1,910","4,167",15.24%,4.31,0:04:13,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Oil & Gas,"2,450","1,984","4,542",20.06%,3.94,0:03:59,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Shopping,"2,442","1,960","4,423",19.40%,3.4,0:03:54,0.00%,0,$0.00 
Business & Industrial/Manufacturing,"2,433","1,697","4,900",14.88%,3.61,0:04:14,0.00%,0,$0.00 
Finance/Financial Planning & Management/Retirement & Pension,"2,412","1,931","4,342",18.65%,3.71,0:04:00,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Lamps & Lighting,"2,390","1,798","5,079",20.71%,3.61,0:04:25,0.00%,0,$0.00 
Sports/Team Sports/Hockey,"2,386","2,029","5,601",17.30%,3.36,0:03:57,0.00%,0,$0.00 
