# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers,237,180,444,20.50%,3.3,0:05:56,0.00%,0,$0.00 
Pets & Animals/Pets/Reptiles & Amphibians,236,187,329,15.50%,3.45,0:03:37,0.00%,0,$0.00 
Business & Industrial/Business Services/Writing & Editing Services,235,177,441,24.04%,4.41,0:04:59,0.00%,0,$0.00 
Business & Industrial/Business Services/Fire & Security Services,234,147,601,26.46%,2.86,0:03:44,0.00%,0,$0.00 
Reference/Humanities/Philosophy,234,188,356,15.73%,3.32,0:03:23,0.00%,0,$0.00 
Arts & Entertainment/Movies/DVD & Video Shopping/DVD & Video Rentals,231,204,399,18.55%,3.99,0:05:33,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Cookware & Diningware/Cutlery & Cutting Accessories,231,188,318,16.35%,3.21,0:03:04,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Kia,230,177,459,17.65%,3.2,0:03:24,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Nuclear Energy,228,190,360,16.39%,3.84,0:04:06,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining,228,187,300,19.00%,4.45,0:04:16,0.00%,0,$0.00 
Jobs & Education/Education/Alumni & Reunions,228,179,611,24.71%,3.39,0:06:17,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music,227,184,488,21.31%,4.33,0:05:10,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Family-Oriented Shows,226,181,384,16.41%,3.1,0:02:49,0.00%,0,$0.00 
Computers & Electronics/Software,226,185,395,15.19%,4.01,0:03:56,0.00%,0,$0.00 
Hobbies & Leisure/Merit Prizes & Contests,226,177,416,21.63%,2.94,0:03:15,0.00%,0,$0.00 
Shopping/Consumer Resources/Product Reviews & Price Comparisons/Price Comparisons,226,170,391,15.35%,4.23,0:05:44,0.00%,0,$0.00 
Shopping/Wholesalers & Liquidators,223,184,329,16.72%,2.95,0:02:38,0.00%,0,$0.00 
Business & Industrial/Business Services/Physical Asset Management,220,163,364,15.11%,4.26,0:03:38,0.00%,0,$0.00 
Food & Drink/Food/Dairy & Eggs,220,164,421,16.63%,3.47,0:03:43,0.00%,0,$0.00 
Science/Earth Sciences/Atmospheric Science,220,164,365,12.60%,4.08,0:04:15,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Microwaves,218,163,384,20.05%,3.34,0:04:01,0.00%,0,$0.00 
Finance/Financial Planning & Management/Inheritance & Estate Planning,217,176,303,15.18%,4.57,0:03:41,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Clocks,217,170,327,15.29%,3.89,0:04:02,0.00%,0,$0.00 
Real Estate/Real Estate Services/Property Inspections & Appraisals,217,159,470,25.74%,3.13,0:04:40,0.00%,0,$0.00 
Computers & Electronics/Software/Educational Software,215,164,355,23.10%,3.45,0:03:50,0.00%,0,$0.00 
Online Communities/Blogging Resources & Services,215,184,344,17.15%,4.85,0:04:19,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware,214,163,496,19.96%,3.71,0:04:59,0.00%,0,$0.00 
Arts & Entertainment/Movies/Action & Adventure Films/Western Films,213,171,330,11.82%,3.69,0:03:18,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Jazz & Blues/Blues,213,160,481,23.70%,3.18,0:02:58,0.00%,0,$0.00 
People & Society/Family & Relationships/Etiquette,213,160,437,16.02%,6.01,0:06:41,0.00%,0,$0.00 
Home & Garden/HVAC & Climate Control/Fireplaces & Stoves,210,160,393,14.50%,3.73,0:03:10,0.00%,0,$0.00 
Pets & Animals/Pets/Birds,210,164,355,19.72%,3.19,0:02:53,0.00%,0,$0.00 
Arts & Entertainment/Online Media/Virtual Tours,209,171,394,16.50%,3.52,0:02:58,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing/Telemarketing,209,162,381,18.37%,3.07,0:02:29,0.00%,0,$0.00 
Games/Board Games,209,170,380,18.95%,4.05,0:04:18,0.00%,0,$0.00 
Sports/Sport Scores & Statistics,207,157,502,18.73%,3.65,0:04:18,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Scooters & Mopeds,206,151,401,19.20%,3.48,0:04:43,0.00%,0,$0.00 
Business & Industrial/Business Operations/Business Plans & Presentations,206,183,254,18.50%,3.66,0:03:53,0.00%,0,$0.00 
Food & Drink/Food & Grocery Delivery,206,146,761,57.82%,2.2,0:01:37,0.00%,0,$0.00 
Reference/General Reference/Educational Resources,206,160,418,24.40%,3.9,0:06:16,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Land Rover,205,172,297,19.87%,3.05,0:02:01,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Pontiac,205,158,402,12.94%,3.52,0:03:40,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Vegetarian Cuisine,205,159,393,27.99%,2.98,0:03:11,0.00%,0,$0.00 
Finance/Banking/Savings Accounts,204,153,331,15.71%,3.27,0:04:03,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Water Supply & Treatment,200,160,318,14.47%,6.25,0:11:09,0.00%,0,$0.00 
Sports/Sporting Goods/Sports Memorabilia,200,159,347,14.99%,3.16,0:02:42,0.00%,0,$0.00 
Travel/Carpooling & Vehicle Sharing,200,163,294,20.07%,2.95,0:03:28,0.00%,0,$0.00 
Arts & Entertainment/Fun & Trivia,198,157,269,19.33%,3.93,0:02:43,0.00%,0,$0.00 
Sports/Sporting Goods,198,147,313,13.74%,3.59,0:02:22,0.00%,0,$0.00 
Arts & Entertainment/Movies/Movie Reference,197,150,367,13.62%,3.34,0:03:34,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Camcorders/Body Mounted & Action Cameras,197,155,372,18.01%,3.14,0:03:22,0.00%,0,$0.00 
Sports/Motor Sports/Motorcycle Racing,196,150,394,11.93%,4.79,0:03:38,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby Care & Hygiene,194,157,274,18.61%,3.73,0:04:54,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Toyota/Lexus,193,154,356,21.91%,3.26,0:03:54,0.00%,0,$0.00 
Business & Industrial/Business Finance/Risk Management,193,160,299,14.38%,3.69,0:04:04,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment,193,144,320,15.62%,3.98,0:04:07,0.00%,0,$0.00 
Computers & Electronics/Enterprise Technology/Customer Relationship Management (CRM),193,158,269,16.36%,3.22,0:02:37,0.00%,0,$0.00 
Computers & Electronics/Programming/Windows & .NET,193,159,275,17.45%,3.24,0:03:31,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs,192,142,346,18.79%,3.19,0:03:34,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Cameras & Camcorders/Camcorders,190,151,425,22.12%,4.46,0:06:05,0.00%,0,$0.00 
Law & Government/Public Safety/Crime & Justice/Corporate & Financial Crime,190,150,286,19.93%,3.65,0:03:24,0.00%,0,$0.00 
Games/Computer & Video Games/Sports Games,188,146,404,18.07%,3.25,0:03:20,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Audio & Music Software,187,160,341,14.96%,3.93,0:05:46,0.00%,0,$0.00 
Food & Drink/Beverages/Coffee & Tea/Tea,187,132,369,18.16%,4.57,0:06:10,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/Music Recording Technology,184,150,367,10.63%,3.89,0:05:57,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Virtual Reality Devices,184,158,282,17.73%,2.87,0:02:34,0.00%,0,$0.00 
Home & Garden/Home Furnishings/Kitchen & Dining Furniture,184,153,305,15.74%,3.63,0:03:42,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Design/Industrial & Product Design,183,142,321,12.15%,3.41,0:03:10,0.00%,0,$0.00 
Shopping/Apparel/Eyewear/Sunglasses,183,138,335,18.21%,4.04,0:05:58,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/Latin American Music/Brazilian Music,181,147,351,29.06%,2.9,0:02:20,0.00%,0,$0.00 
News,181,142,312,20.83%,3.68,0:04:29,0.00%,0,$0.00 
Shopping/Apparel/Clothing Accessories/Gems & Jewelry/Rings,181,140,257,15.18%,3.07,0:02:27,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Car Electronics,180,136,283,10.60%,3.23,0:02:26,0.00%,0,$0.00 
Real Estate,180,138,281,14.23%,5.3,0:04:04,0.00%,0,$0.00 
Sports/Individual Sports/Bowling,180,146,433,27.48%,3.13,0:03:38,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Forestry,179,146,228,17.11%,3.36,0:03:13,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/MP3 & Portable Media Players,177,128,311,16.72%,3.02,0:02:07,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/BBQ & Grilling,177,145,248,11.69%,3.07,0:02:01,0.00%,0,$0.00 
Home & Garden/HVAC & Climate Control/Air Filters & Purifiers,177,128,325,14.46%,3.3,0:05:05,0.00%,0,$0.00 
People & Society/Subcultures & Niche Interests/Science Fiction & Fantasy,177,146,301,13.95%,4,0:03:55,0.00%,0,$0.00 
"Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife",176,134,279,24.73%,2.97,0:02:49,0.00%,0,$0.00 
Food & Drink/Beverages/Bottled Water,176,142,343,18.95%,3.56,0:06:13,0.00%,0,$0.00 
Online Communities/Photo & Video Sharing/Video Sharing,176,147,311,20.26%,3.39,0:02:36,0.00%,0,$0.00 
Shopping/Apparel/Formal Wear/Bridal Wear,176,142,256,13.67%,2.89,0:02:10,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Cadillac,175,133,330,18.18%,3.98,0:04:42,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Home Financing/Home Refinancing,174,127,470,27.66%,2.94,0:04:51,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Valentine's Day,172,129,291,17.18%,3.08,0:02:39,0.00%,0,$0.00 
Hobbies & Leisure/Water Activities/Diving & Underwater Activities,172,142,253,17.39%,3.73,0:04:15,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Child Care,172,144,265,21.13%,6.06,0:02:58,0.00%,0,$0.00 
Pets & Animals/Pets/Rabbits & Rodents,172,121,321,21.18%,4.04,0:04:20,0.00%,0,$0.00 
Shopping/Apparel/Uniforms & Workwear,172,129,312,22.44%,3.6,0:04:07,0.00%,0,$0.00 
"Arts & Entertainment/Movies/Thriller, Crime & Mystery Films",171,129,267,17.23%,4.52,0:04:25,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Residential Sales/Condos & Townhomes,171,127,385,13.51%,6.05,0:04:00,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/CD & DVD Drives & Burners,170,125,377,28.38%,2.88,0:04:45,0.00%,0,$0.00 
"Computers & Electronics/Consumer Electronics/Camera & Photo Equipment/Binoculars, Telescopes & Optical Devices",170,137,261,18.01%,3,0:02:39,0.00%,0,$0.00 
Games/Computer & Video Games/Driving & Racing Games,170,141,269,25.65%,2.64,0:02:29,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Chrysler,168,133,301,10.96%,3.23,0:03:45,0.00%,0,$0.00 
Jobs & Education/Education/Computer Education,168,141,287,23.69%,8.8,0:07:20,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Education & Instruction,167,133,387,23.26%,2.97,0:05:20,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Honda/Acura,167,142,230,20.00%,2.98,0:02:16,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Audio Equipment,167,125,273,18.68%,3.05,0:02:56,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Camera & Photo Equipment,167,115,428,15.19%,4.42,0:07:49,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Suzuki,166,123,290,22.07%,2.92,0:03:43,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Home Financing,166,120,324,17.59%,3.29,0:06:00,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Buick,164,123,252,19.84%,3.05,0:02:31,0.00%,0,$0.00 
Beauty & Fitness/Fitness/Gyms & Health Clubs,164,124,343,22.16%,3.5,0:04:16,0.00%,0,$0.00 
Finance/Accounting & Auditing/Billing & Invoicing,164,114,300,18.33%,3.31,0:03:46,0.00%,0,$0.00 
Shopping/Apparel/Headwear,164,132,294,13.61%,3.22,0:03:48,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Parking,163,132,210,16.19%,3.66,0:02:38,0.00%,0,$0.00 
Shopping/Consumer Resources/Identity Theft Protection,163,141,223,11.66%,3.29,0:03:17,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Audio & Music Software/Audio File Formats & Codecs,162,138,223,20.63%,2.89,0:02:13,0.00%,0,$0.00 
Law & Government/Public Safety/Crime & Justice,162,124,257,16.34%,3.63,0:04:26,0.00%,0,$0.00 
Shopping/Luxury Goods,162,134,252,25.00%,4.28,0:03:06,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Residential Sales/New Homes & Custom Homes,160,124,547,27.97%,3.53,0:07:54,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Drums & Percussion,159,123,386,27.98%,3.59,0:04:17,0.00%,0,$0.00 
"Travel/Tourist Destinations/Zoos, Aquariums & Preserves",159,127,237,12.24%,3.11,0:02:49,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage,158,110,321,25.55%,2.84,0:02:20,0.00%,0,$0.00 
Sports/Team Sports/Volleyball,158,125,266,10.90%,3.89,0:03:41,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Radio/Podcasting,157,133,271,23.99%,4.48,0:03:44,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/Clerical & Administrative Jobs,157,130,211,18.48%,3.22,0:02:13,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Jaguar,155,129,210,14.29%,3.8,0:03:56,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Ringtones & Mobile Themes,155,125,200,25.00%,3.06,0:02:16,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Mitsubishi,154,119,227,16.30%,3.53,0:03:22,0.00%,0,$0.00 
Games/Computer & Video Games/Simulation Games/Vehicle Simulators,154,123,244,15.98%,2.97,0:02:59,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Adoption,154,107,291,18.90%,3.18,0:03:23,0.00%,0,$0.00 
Real Estate/Real Estate Listings/Timeshares & Vacation Properties,154,142,211,15.64%,3.5,0:03:18,0.00%,0,$0.00 
Business & Industrial/Hospitality Industry/Food Service/Restaurant Supply,153,127,266,16.54%,3.58,0:04:47,0.00%,0,$0.00 
Food & Drink/Food/Dairy & Eggs/Cheese,153,112,270,12.96%,3.67,0:04:27,0.00%,0,$0.00 
Real Estate/Real Estate Services/Property Management,153,133,192,18.23%,3.06,0:02:55,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Production,151,110,214,20.09%,3.26,0:02:43,0.00%,0,$0.00 
Hobbies & Leisure/Water Activities/Boating,151,110,193,15.54%,3.17,0:02:13,0.00%,0,$0.00 
Arts & Entertainment/Humor/Political Humor,150,116,476,17.23%,10.89,0:19:56,0.00%,0,$0.00 
Online Communities/Online Goodies,150,121,253,11.46%,3.22,0:02:27,0.00%,0,$0.00 
Sports/Sporting Goods/Baseball Equipment,150,121,271,17.71%,3.05,0:02:50,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Holidays & Seasonal Events/Thanksgiving,149,99,373,20.91%,3.4,0:04:33,0.00%,0,$0.00 
Home & Garden/Nursery & Playroom,149,127,282,24.47%,2.95,0:03:36,0.00%,0,$0.00 
Science/Computer Science,149,112,227,18.50%,3.44,0:03:49,0.00%,0,$0.00 
Autos & Vehicles,147,110,261,21.07%,7.07,0:11:11,0.00%,0,$0.00 
Sports/Team Sports/Cheerleading,147,111,334,11.08%,3.76,0:03:36,0.00%,0,$0.00 
Beauty & Fitness/Fitness/Fitness Instruction & Personal Training,146,116,316,25.32%,3.81,0:05:12,0.00%,0,$0.00 
Games/Board Games/Miniatures & Wargaming,146,129,274,14.60%,3.66,0:04:51,0.00%,0,$0.00 
Games/Computer & Video Games/Fighting Games,146,117,314,24.52%,3.54,0:06:35,0.00%,0,$0.00 
Hobbies & Leisure/Crafts/Art & Craft Supplies,146,106,329,14.29%,5.38,0:07:35,0.00%,0,$0.00 
Jobs & Education/Education/Vocational & Continuing Education,146,114,275,15.64%,3.35,0:03:30,0.00%,0,$0.00 
Business & Industrial/Chemicals Industry/Cleaning Agents,145,104,211,12.32%,3.49,0:04:35,0.00%,0,$0.00 
Shopping/Photo & Video Services,145,119,197,14.72%,3.21,0:02:42,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Bike Accessories,144,108,248,23.79%,2.97,0:02:41,0.00%,0,$0.00 
Arts & Entertainment/Movies/Musical Films,142,102,228,13.60%,3.27,0:03:07,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Pianos & Keyboards,142,117,260,18.08%,3.62,0:04:39,0.00%,0,$0.00 
Finance/Investing/Funds/Exchange Traded Funds,141,117,204,14.22%,3.39,0:03:32,0.00%,0,$0.00 
Food & Drink/Food/Grains & Pasta,141,115,264,20.08%,3.81,0:05:49,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/Latin American Music/Latin Pop,140,115,321,18.38%,5.77,0:17:42,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles,140,110,249,13.25%,3.82,0:04:58,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Shows,140,95,248,16.94%,3.31,0:03:04,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Dishwashers,140,99,206,24.76%,2.95,0:02:41,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Child Car Seats,140,115,247,11.74%,3.19,0:03:19,0.00%,0,$0.00 
Shopping/Toys/Ride-On Toys & Wagons,140,99,228,17.54%,3.79,0:03:35,0.00%,0,$0.00 
Arts & Entertainment/Movies/Classic Films,138,100,234,27.35%,3.21,0:03:34,0.00%,0,$0.00 
Business & Industrial/Printing & Publishing/Document & Printing Services/Business Cards & Stationery,137,116,185,23.24%,2.95,0:01:40,0.00%,0,$0.00 
Business & Industrial/Business Finance/Commercial Lending,136,116,206,22.33%,3.57,0:03:48,0.00%,0,$0.00 
Arts & Entertainment/Performing Arts/Magic,134,98,251,18.33%,2.87,0:02:30,0.00%,0,$0.00 
Pets & Animals/Animal Products & Services/Veterinarians,134,103,215,17.67%,4.61,0:03:07,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Luxury Vehicles,133,114,230,16.09%,3.44,0:04:17,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Renewable & Alternative Energy/Wind Power,133,107,190,12.11%,7.03,0:05:19,0.00%,0,$0.00 
Games/Table Games/Billiards,133,100,330,11.82%,3.23,0:03:45,0.00%,0,$0.00 
Internet & Telecom/Email & Messaging/Electronic Spam,133,93,429,24.94%,2.77,0:04:00,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby & Toddler Toys,133,110,174,11.49%,3.18,0:03:16,0.00%,0,$0.00 
Business & Industrial/Business Education,132,100,249,21.29%,7.89,0:06:39,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Ram Trucks,130,98,215,17.67%,3.88,0:02:43,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Renault,130,110,210,14.76%,9.28,0:06:53,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Auto Batteries,130,97,207,20.29%,3.27,0:02:50,0.00%,0,$0.00 
Beauty & Fitness/Spas & Beauty Services/Massage Therapy,130,100,223,24.66%,2.96,0:03:06,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Urban & Regional Planning,130,98,234,22.65%,3.6,0:04:39,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Design/Interior Design,129,106,206,24.27%,4.01,0:04:16,0.00%,0,$0.00 
Autos & Vehicles/Bicycles & Accessories/Mountain Bikes,129,107,283,13.78%,3.19,0:03:52,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Vauxhall-Opel,129,102,196,18.88%,5.89,0:03:56,0.00%,0,$0.00 
Sports/Motor Sports,129,93,197,7.11%,5.64,0:07:18,0.00%,0,$0.00 
Finance/Credit & Lending/Loans/Student Loans & College Financing,128,100,166,16.27%,3.05,0:01:51,0.00%,0,$0.00 
Jobs & Education/Education/Teaching & Classroom Resources/School Supplies & Classroom Equipment,128,97,227,12.78%,3.67,0:03:45,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Saab,127,89,264,24.24%,3.19,0:03:13,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/Southeast Asian Cuisine/Thai Cuisine,127,91,275,21.45%,3.29,0:03:00,0.00%,0,$0.00 
People & Society/Family & Relationships,125,107,201,16.42%,3.74,0:05:04,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/East Asian Cuisine/Korean Cuisine,124,91,230,20.00%,3.27,0:03:45,0.00%,0,$0.00 
Internet & Telecom/Teleconferencing,124,98,202,12.38%,3.16,0:03:04,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/Latin American Music/Salsa & Tropical Music,121,94,382,24.61%,4.85,0:11:06,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Renewable & Alternative Energy,121,104,160,16.88%,3.62,0:03:31,0.00%,0,$0.00 
News/Business News/Company News/Mergers & Acquisitions,121,100,168,17.26%,3.7,0:03:03,0.00%,0,$0.00 
Arts & Entertainment/Movies/DVD & Video Shopping,120,97,211,12.80%,3.23,0:02:50,0.00%,0,$0.00 
Online Communities/Online Journals & Personal Sites,120,90,275,11.27%,6.97,0:05:45,0.00%,0,$0.00 
Arts & Entertainment/Events & Listings/Live Sporting Events,119,67,429,24.24%,3.47,0:04:30,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Mini,119,86,205,31.71%,2.52,0:01:23,0.00%,0,$0.00 
Arts & Entertainment/Movies/Action & Adventure Films/Martial Arts Films,117,99,177,11.86%,3.55,0:03:05,0.00%,0,$0.00 
Finance/Credit & Lending/Loans,116,87,247,14.98%,3.59,0:05:41,0.00%,0,$0.00 
Games/Computer & Video Games/Sandbox Games,116,111,171,36.84%,2.47,0:01:14,0.00%,0,$0.00 
Jobs & Education/Education/Distance Learning,116,91,224,16.52%,5.31,0:15:21,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Auto Glass Repair & Replacement,115,86,251,18.33%,2.95,0:05:32,0.00%,0,$0.00 
Shopping/Consumer Resources/Customer Services,115,87,160,26.25%,2.89,0:02:16,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Microcars & Subcompacts,114,87,192,11.46%,3.97,0:03:40,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance/Brake Service & Repair,114,95,164,13.41%,3,0:02:30,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Cuisines/North American Cuisine,114,89,166,20.48%,3.12,0:02:43,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Salads,114,99,159,15.72%,3.34,0:02:04,0.00%,0,$0.00 
Hobbies & Leisure/Clubs & Organizations/Youth Organizations & Resources,114,85,188,13.30%,3.36,0:03:06,0.00%,0,$0.00 
Sports/Sporting Goods/Winter Sports Equipment/Skiing Equipment,114,87,206,12.62%,3.72,0:03:27,0.00%,0,$0.00 
Finance/Investing/Funds/Hedge Funds,112,93,170,15.29%,4.54,0:07:07,0.00%,0,$0.00 
Law & Government/Government/Embassies & Consulates,112,90,183,28.96%,2.63,0:02:01,0.00%,0,$0.00 
Shopping/Apparel/Footwear/Casual Shoes,112,91,228,24.56%,2.65,0:03:20,0.00%,0,$0.00 
Shopping/Apparel/Sleepwear,112,94,193,12.95%,2.83,0:01:51,0.00%,0,$0.00 
Arts & Entertainment/Movies/Documentary Films,111,86,177,17.51%,4.02,0:03:25,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Fax Machines",111,97,174,21.26%,3.12,0:03:47,0.00%,0,$0.00 
Hobbies & Leisure/Recreational Aviation,111,87,157,13.38%,3.17,0:02:13,0.00%,0,$0.00 
Jobs & Education/Jobs/Job Listings/Sales & Marketing Jobs,111,91,210,14.76%,3.5,0:03:42,0.00%,0,$0.00 
Games/Computer & Video Games/Gaming Reference & Reviews,110,95,162,13.58%,3.33,0:03:55,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Parenting/Babies & Toddlers/Baby Strollers & Transport,110,89,163,15.34%,3.62,0:05:07,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing/Promotional Products & Corporate Gifts,108,85,213,10.80%,3.2,0:04:48,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/CD & DVD Storage Media,108,67,184,9.78%,4.09,0:05:23,0.00%,0,$0.00 
Food & Drink/Food/Cooking Fats & Oils,108,91,168,20.83%,3.64,0:02:08,0.00%,0,$0.00 
News/Business News/Fiscal Policy News,108,80,140,15.71%,3.45,0:02:14,0.00%,0,$0.00 
Shopping/Toys/Action Figures,108,86,184,23.91%,3.52,0:04:21,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Hummer,107,82,262,16.03%,3.35,0:06:30,0.00%,0,$0.00 
News/Journalism & News Industry,107,78,179,32.96%,2.63,0:01:47,0.00%,0,$0.00 
Shopping/Swap Meets & Outdoor Markets,107,84,247,19.03%,3.38,0:03:55,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Warehousing,106,72,162,16.67%,3.4,0:02:43,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Gadgets & Portable Electronics/E-Book Readers,106,91,179,15.08%,3.54,0:04:53,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Video Players & Recorders/Blu-Ray Players & Recorders,106,84,158,11.39%,3.3,0:02:32,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Immigration Policy & Border Issues,106,89,129,15.50%,3.19,0:01:48,0.00%,0,$0.00 
People & Society/Social Sciences,106,76,174,12.64%,5.26,0:05:41,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Codes & Driving Laws,104,86,158,20.89%,3.6,0:04:22,0.00%,0,$0.00 
